,Game,Country,AverageRating
0,6 nimmt!,Argentina,7.57
1,6 nimmt!,Australia,7.17
2,6 nimmt!,Austria,7.53
3,6 nimmt!,Belarus,7.5
4,6 nimmt!,Belgium,7.55
5,6 nimmt!,Bolivia,7.0
6,6 nimmt!,Brazil,7.28
7,6 nimmt!,Brunei,8.0
8,6 nimmt!,Bulgaria,5.67
9,6 nimmt!,Canada,7.21
10,6 nimmt!,Chile,7.99
11,6 nimmt!,China,7.1
12,6 nimmt!,Colombia,7.57
13,6 nimmt!,Croatia,6.0
14,6 nimmt!,Czech Republic,7.7
15,6 nimmt!,Denmark,6.19
16,6 nimmt!,England,7.5
17,6 nimmt!,Estonia,7.08
18,6 nimmt!,Finland,7.32
19,6 nimmt!,France,6.93
20,6 nimmt!,Germany,7.58
21,6 nimmt!,Greece,7.07
22,6 nimmt!,Hungary,7.31
23,6 nimmt!,Iceland,6.0
24,6 nimmt!,India,7.0
25,6 nimmt!,Ireland,8.0
26,6 nimmt!,Israel,6.8
27,6 nimmt!,Italy,7.06
28,6 nimmt!,Japan,6.99
29,6 nimmt!,Latvia,6.74
30,6 nimmt!,Lithuania,7.71
31,6 nimmt!,Luxembourg,7.0
32,6 nimmt!,Malaysia,8.08
33,6 nimmt!,Mexico,8.0
34,6 nimmt!,Netherlands,7.25
35,6 nimmt!,New Zealand,6.91
36,6 nimmt!,Norway,6.77
37,6 nimmt!,Philippines,9.0
38,6 nimmt!,Poland,7.43
39,6 nimmt!,Portugal,6.63
40,6 nimmt!,Romania,7.8
41,6 nimmt!,Russia,6.5
42,6 nimmt!,Saudi Arabia,7.0
43,6 nimmt!,Republic of Serbia,7.7
44,6 nimmt!,Slovakia,7.0
45,6 nimmt!,South Africa,7.33
46,6 nimmt!,South Korea,7.43
47,6 nimmt!,Spain,7.58
48,6 nimmt!,Sweden,7.01
49,6 nimmt!,Switzerland,7.75
50,6 nimmt!,Taiwan,7.44
51,6 nimmt!,Thailand,7.5
52,6 nimmt!,Ukraine,7.67
53,6 nimmt!,USA,7.14
54,6 nimmt!,Uruguay,10.0
55,6 nimmt!,Vietnam,6.0
56,7 Wonders,Argentina,8.12
57,7 Wonders,Australia,8.05
58,7 Wonders,Austria,8.5
59,7 Wonders,Belarus,8.25
60,7 Wonders,Belgium,8.33
61,7 Wonders,Bolivia,9.0
62,7 Wonders,Brazil,8.71
63,7 Wonders,Brunei,9.0
64,7 Wonders,Bulgaria,8.35
65,7 Wonders,Canada,8.31
66,7 Wonders,Chile,8.17
67,7 Wonders,China,8.23
68,7 Wonders,Colombia,8.09
69,7 Wonders,Costa Rica,7.5
70,7 Wonders,Croatia,8.04
71,7 Wonders,Czech Republic,7.65
72,7 Wonders,Denmark,7.99
73,7 Wonders,England,7.74
74,7 Wonders,Estonia,9.17
75,7 Wonders,Finland,8.44
76,7 Wonders,France,8.59
77,7 Wonders,Germany,8.41
78,7 Wonders,Greece,8.34
79,7 Wonders,Guatemala,9.5
80,7 Wonders,Honduras,8.0
81,7 Wonders,Hungary,8.46
82,7 Wonders,Iceland,8.13
83,7 Wonders,India,8.0
84,7 Wonders,Indonesia,8.63
85,7 Wonders,Iran,7.9
86,7 Wonders,Iraq,9.0
87,7 Wonders,Ireland,8.3
88,7 Wonders,Israel,8.03
89,7 Wonders,Italy,7.9
90,7 Wonders,Japan,7.43
91,7 Wonders,Latvia,8.4
92,7 Wonders,Lebanon,7.0
93,7 Wonders,Lithuania,8.05
94,7 Wonders,Luxembourg,8.0
95,7 Wonders,Macedonia,8.5
96,7 Wonders,Malaysia,8.33
97,7 Wonders,Mexico,8.86
98,7 Wonders,Moldova,8.75
99,7 Wonders,Netherlands,7.96
100,7 Wonders,New Zealand,7.79
101,7 Wonders,Norway,8.62
102,7 Wonders,Peru,8.63
103,7 Wonders,Philippines,8.5
104,7 Wonders,Poland,8.43
105,7 Wonders,Portugal,8.41
106,7 Wonders,Qatar,8.0
107,7 Wonders,Romania,8.61
108,7 Wonders,Russia,8.88
109,7 Wonders,Saudi Arabia,7.5
110,7 Wonders,Republic of Serbia,8.98
111,7 Wonders,Slovakia,8.98
112,7 Wonders,Slovenia,8.67
113,7 Wonders,South Africa,8.7
114,7 Wonders,South Korea,7.44
115,7 Wonders,Spain,8.17
116,7 Wonders,Sri Lanka,9.0
117,7 Wonders,Sweden,8.1
118,7 Wonders,Switzerland,8.02
119,7 Wonders,Taiwan,8.06
120,7 Wonders,Thailand,8.23
121,7 Wonders,Turkey,8.5
122,7 Wonders,Uganda,7.0
123,7 Wonders,Ukraine,8.17
124,7 Wonders,USA,8.23
125,7 Wonders,Uruguay,9.03
126,7 Wonders,Venezuela,9.0
127,7 Wonders,Vietnam,8.0
128,7 Wonders Duel,Argentina,8.65
129,7 Wonders Duel,Australia,8.22
130,7 Wonders Duel,Austria,8.27
131,7 Wonders Duel,Belarus,7.5
132,7 Wonders Duel,Belgium,8.59
133,7 Wonders Duel,Bolivia,9.0
134,7 Wonders Duel,Brazil,8.82
135,7 Wonders Duel,Bulgaria,9.33
136,7 Wonders Duel,Canada,8.38
137,7 Wonders Duel,Chile,8.97
138,7 Wonders Duel,China,8.36
139,7 Wonders Duel,Colombia,8.17
140,7 Wonders Duel,Croatia,8.0
141,7 Wonders Duel,Czech Republic,9.11
142,7 Wonders Duel,Denmark,7.67
143,7 Wonders Duel,Ecuador,8.25
144,7 Wonders Duel,England,8.55
145,7 Wonders Duel,Estonia,8.83
