Game,Country,AverageRating
6 nimmt!,Argentina,7.57
6 nimmt!,Australia,7.17
6 nimmt!,Austria,7.53
6 nimmt!,Belarus,7.5
6 nimmt!,Belgium,7.55
6 nimmt!,Bolivia,7.0
6 nimmt!,Brazil,7.28
6 nimmt!,Brunei,8.0
6 nimmt!,Bulgaria,5.67
6 nimmt!,Canada,7.21
6 nimmt!,Chile,7.99
6 nimmt!,China,7.1
6 nimmt!,Colombia,7.57
6 nimmt!,Croatia,6.0
6 nimmt!,Czech Republic,7.7
6 nimmt!,Denmark,6.19
6 nimmt!,England,7.5
6 nimmt!,Estonia,7.08
6 nimmt!,Finland,7.32
6 nimmt!,France,6.93
6 nimmt!,Germany,7.58
6 nimmt!,Greece,7.07
6 nimmt!,Hungary,7.31
6 nimmt!,Iceland,6.0
6 nimmt!,India,7.0
6 nimmt!,Ireland,8.0
6 nimmt!,Israel,6.8
6 nimmt!,Italy,7.06
6 nimmt!,Japan,6.99
6 nimmt!,Latvia,6.74
6 nimmt!,Lithuania,7.71
6 nimmt!,Luxembourg,7.0
6 nimmt!,Malaysia,8.08
6 nimmt!,Mexico,8.0
6 nimmt!,Netherlands,7.25
6 nimmt!,New Zealand,6.91
6 nimmt!,Norway,6.77
6 nimmt!,Philippines,9.0
6 nimmt!,Poland,7.43
6 nimmt!,Portugal,6.63
6 nimmt!,Romania,7.8
6 nimmt!,Russia,6.5
6 nimmt!,Saudi Arabia,7.0
6 nimmt!,Republic of Serbia,7.7
6 nimmt!,Slovakia,7.0
6 nimmt!,South Africa,7.33
6 nimmt!,South Korea,7.43
6 nimmt!,Spain,7.58
6 nimmt!,Sweden,7.01
6 nimmt!,Switzerland,7.75
6 nimmt!,Taiwan,7.44
6 nimmt!,Thailand,7.5
6 nimmt!,Ukraine,7.67
6 nimmt!,USA,7.14
6 nimmt!,Uruguay,10.0
6 nimmt!,Vietnam,6.0
7 Wonders,Argentina,8.12
7 Wonders,Australia,8.05
7 Wonders,Austria,8.5
7 Wonders,Belarus,8.25
7 Wonders,Belgium,8.33
7 Wonders,Bolivia,9.0
7 Wonders,Brazil,8.71
7 Wonders,Brunei,9.0
7 Wonders,Bulgaria,8.35
7 Wonders,Canada,8.31
7 Wonders,Chile,8.17
7 Wonders,China,8.23
7 Wonders,Colombia,8.09
7 Wonders,Costa Rica,7.5
7 Wonders,Croatia,8.04
7 Wonders,Czech Republic,7.65
7 Wonders,Denmark,7.99
7 Wonders,England,7.74
7 Wonders,Estonia,9.17
7 Wonders,Finland,8.44
7 Wonders,France,8.59
7 Wonders,Germany,8.41
7 Wonders,Greece,8.34
7 Wonders,Guatemala,9.5
7 Wonders,Honduras,8.0
7 Wonders,Hungary,8.46
7 Wonders,Iceland,8.13
7 Wonders,India,8.0
7 Wonders,Indonesia,8.63
7 Wonders,Iran,7.9
7 Wonders,Iraq,9.0
7 Wonders,Ireland,8.3
7 Wonders,Israel,8.03
7 Wonders,Italy,7.9
7 Wonders,Japan,7.43
7 Wonders,Latvia,8.4
7 Wonders,Lebanon,7.0
7 Wonders,Lithuania,8.05
7 Wonders,Luxembourg,8.0
7 Wonders,Macedonia,8.5
7 Wonders,Malaysia,8.33
7 Wonders,Mexico,8.86
7 Wonders,Moldova,8.75
7 Wonders,Netherlands,7.96
7 Wonders,New Zealand,7.79
7 Wonders,Norway,8.62
7 Wonders,Peru,8.63
7 Wonders,Philippines,8.5
7 Wonders,Poland,8.43
7 Wonders,Portugal,8.41
7 Wonders,Qatar,8.0
7 Wonders,Romania,8.61
7 Wonders,Russia,8.88
7 Wonders,Saudi Arabia,7.5
7 Wonders,Republic of Serbia,8.98
7 Wonders,Slovakia,8.98
7 Wonders,Slovenia,8.67
7 Wonders,South Africa,8.7
7 Wonders,South Korea,7.44
7 Wonders,Spain,8.17
7 Wonders,Sri Lanka,9.0
7 Wonders,Sweden,8.1
7 Wonders,Switzerland,8.02
7 Wonders,Taiwan,8.06
7 Wonders,Thailand,8.23
7 Wonders,Turkey,8.5
7 Wonders,Uganda,7.0
7 Wonders,Ukraine,8.17
7 Wonders,USA,8.23
7 Wonders,Uruguay,9.03
7 Wonders,Venezuela,9.0
7 Wonders,Vietnam,8.0
7 Wonders Duel,Argentina,8.65
7 Wonders Duel,Australia,8.22
7 Wonders Duel,Austria,8.27
7 Wonders Duel,Belarus,7.5
7 Wonders Duel,Belgium,8.59
7 Wonders Duel,Bolivia,9.0
7 Wonders Duel,Brazil,8.82
7 Wonders Duel,Bulgaria,9.33
7 Wonders Duel,Canada,8.38
7 Wonders Duel,Chile,8.97
7 Wonders Duel,China,8.36
7 Wonders Duel,Colombia,8.17
7 Wonders Duel,Croatia,8.0
7 Wonders Duel,Czech Republic,9.11
7 Wonders Duel,Denmark,7.67
7 Wonders Duel,Ecuador,8.25
7 Wonders Duel,England,8.55
7 Wonders Duel,Estonia,8.83
7 Wonders Duel,Finland,8.05
7 Wonders Duel,France,8.65
7 Wonders Duel,Germany,8.43
7 Wonders Duel,Greece,8.67
7 Wonders Duel,Guatemala,7.0
7 Wonders Duel,Hungary,8.0
7 Wonders Duel,Iceland,9.0
7 Wonders Duel,India,8.75
7 Wonders Duel,Indonesia,8.75
7 Wonders Duel,Iran,6.5
7 Wonders Duel,Ireland,9.08
7 Wonders Duel,Israel,8.8
7 Wonders Duel,Italy,8.09
7 Wonders Duel,Japan,7.89
7 Wonders Duel,Latvia,8.54
7 Wonders Duel,Lebanon,8.0
7 Wonders Duel,Lithuania,8.64
7 Wonders Duel,Luxembourg,7.0
7 Wonders Duel,Malaysia,8.5
7 Wonders Duel,Mexico,9.08
7 Wonders Duel,Moldova,10.0
7 Wonders Duel,Netherlands,8.3
7 Wonders Duel,New Zealand,8.15
7 Wonders Duel,Norway,8.67
7 Wonders Duel,Paraguay,9.0
7 Wonders Duel,Philippines,8.75
7 Wonders Duel,Poland,8.86
7 Wonders Duel,Portugal,8.56
7 Wonders Duel,Qatar,7.4
7 Wonders Duel,Romania,8.87
7 Wonders Duel,Russia,8.45
7 Wonders Duel,Rwanda,7.0
