name,code,pop
Argentina,7,7.57
Australia,36,7.17
Austria,10,7.53
Belarus,2,7.5
Belgium,18,7.55
Bolivia,1,7.0
Brazil,32,7.28
Brunei,1,8.0
Bulgaria,3,5.67
Canada,98,7.21
Chile,9,7.99
China,4,7.1
Colombia,3,7.57
Croatia,1,6.0
Czech Republic,5,7.7
Denmark,8,6.19
England,4,7.5
Estonia,5,7.08
Finland,32,7.32
France,27,6.93
Germany,123,7.58
Greece,17,7.07
Hungary,19,7.31
Iceland,1,6.0
India,1,7.0
Ireland,4,8.0
Israel,5,6.8
Italy,32,7.06
Japan,40,6.99
Latvia,9,6.74
Lithuania,7,7.71
Luxembourg,1,7.0
Malaysia,6,8.08
Mexico,6,8.0
Netherlands,25,7.25
New Zealand,11,6.91
Norway,11,6.77
Philippines,1,9.0
Poland,47,7.43
Portugal,5,6.63
Romania,5,7.8
Russia,11,6.5
Saudi Arabia,1,7.0
Republic of Serbia,5,7.7
Slovakia,1,7.0
South Africa,3,7.33
South Korea,24,7.43
Spain,83,7.58
Sweden,17,7.01
Switzerland,8,7.75
Taiwan,20,7.44
Thailand,6,7.5
Ukraine,3,7.67
USA,463,7.14
Uruguay,1,10.0
Vietnam,1,6.0
Argentina,24,8.12
Australia,110,8.05
Austria,14,8.5
Belarus,2,8.25
Belgium,58,8.33
Bolivia,2,9.0
Brazil,107,8.71
Brunei,1,9.0
Bulgaria,10,8.35
Canada,362,8.31
Chile,15,8.17
China,28,8.23
Colombia,8,8.09
Costa Rica,2,7.5
Croatia,5,8.04
Czech Republic,13,7.65
Denmark,26,7.99
England,16,7.74
Estonia,9,9.17
Finland,42,8.44
France,55,8.59
Germany,212,8.41
Greece,56,8.34
Guatemala,1,9.5
Honduras,1,8.0
Hungary,29,8.46
Iceland,4,8.13
India,3,8.0
Indonesia,8,8.63
Iran,3,7.9
Iraq,1,9.0
Ireland,14,8.3
Israel,15,8.03
Italy,86,7.9
Japan,38,7.43
Latvia,12,8.4
Lebanon,1,7.0
Lithuania,16,8.05
Luxembourg,2,8.0
Macedonia,2,8.5
Malaysia,9,8.33
Mexico,21,8.86
Moldova,2,8.75
Netherlands,48,7.96
New Zealand,28,7.79
Norway,19,8.62
Peru,4,8.63
Philippines,10,8.5
Poland,116,8.43
Portugal,29,8.41
Qatar,2,8.0
Romania,22,8.61
Russia,21,8.88
Saudi Arabia,2,7.5
Republic of Serbia,12,8.98
Slovakia,3,8.98
Slovenia,3,8.67
South Africa,10,8.7
South Korea,25,7.44
Spain,174,8.17
Sri Lanka,1,9.0
Sweden,63,8.1
Switzerland,20,8.02
Taiwan,31,8.06
Thailand,16,8.23
Turkey,2,8.5
Uganda,1,7.0
Ukraine,18,8.17
USA,2023,8.23
Uruguay,3,9.03
Venezuela,2,9.0
Vietnam,3,8.0
Argentina,14,8.65
Australia,51,8.22
Austria,11,8.27
Belarus,2,7.5
Belgium,26,8.59
Bolivia,1,9.0
Brazil,38,8.82
Bulgaria,3,9.33
Canada,132,8.38
Chile,9,8.97
China,18,8.36
Colombia,3,8.17
Croatia,3,8.0
Czech Republic,9,9.11
Denmark,11,7.67
Ecuador,2,8.25
England,11,8.55
Estonia,3,8.83
Finland,11,8.05
France,32,8.65
Germany,109,8.43
Greece,23,8.67
Guatemala,1,7.0
Hungary,13,8.0
Iceland,3,9.0
India,6,8.75
Indonesia,4,8.75
Iran,2,6.5
Ireland,6,9.08
Israel,6,8.8
Italy,48,8.09
Japan,18,7.89
Latvia,6,8.54
Lebanon,1,8.0
Lithuania,7,8.64
Luxembourg,1,7.0
Malaysia,2,8.5
Mexico,9,9.08
Moldova,1,10.0
Netherlands,30,8.3
New Zealand,8,8.15
Norway,9,8.67
Paraguay,1,9.0
Philippines,4,8.75
Poland,65,8.86
Portugal,14,8.56
Qatar,1,7.4
Romania,11,8.87
Russia,11,8.45
Rwanda,1,7.0
Saudi Arabia,1,8.0
Republic of Serbia,9,9.33
Slovakia,4,8.43
Slovenia,3,9.33
South Africa,4,7.95
South Korea,17,7.85
Spain,119,8.48
Sweden,33,7.85
Switzerland,7,8.36
Taiwan,13,8.43
Thailand,9,8.89
Ukraine,11,8.59
USA,688,8.39
Uruguay,1,9.0
Venezuela,1,10.0
Vietnam,2,9.38
Argentina,9,8.47
Australia,43,7.3
Austria,2,9.0
Belarus,2,7.25
Belgium,14,8.1
Bolivia,1,8.0
Brazil,51,8.61
Bulgaria,7,8.0
Canada,100,7.99
Chile,9,8.1
China,19,7.43
Colombia,4,8.75
Croatia,4,7.55
Czech Republic,5,7.22
Denmark,4,6.25
Ecuador,1,9.0
England,2,6.0
Estonia,3,8.53
Finland,9,8.06
France,6,7.67
Germany,50,8.04
Greece,18,8.19
Hungary,4,6.5
Iceland,2,8.5
India,1,10.0
Indonesia,2,8.25
Ireland,6,7.5
Israel,5,6.71
Italy,36,7.65
Japan,2,4.0
Latvia,6,7.8
Lebanon,1,7.0
Lithuania,9,8.33
Macedonia,2,8.5
Malaysia,4,9.28
Mexico,8,6.56
Moldova,1,9.0
Netherlands,9,8.27
New Zealand,8,7.6
Norway,5,7.58
Paraguay,1,8.0
Peru,3,9.0
Philippines,3,9.67
Poland,64,8.21
Portugal,12,8.59
Qatar,1,7.6
Romania,8,7.87
Russia,14,8.0
Republic of Serbia,6,8.33
Slovakia,2,8.0
Slovenia,1,10.0
South Africa,5,7.2
South Korea,7,7.0
Spain,81,8.23
Sweden,21,7.9
Switzerland,4,8.38
Taiwan,9,7.18
Thailand,6,8.0
Turkey,1,8.5
Uganda,1,8.5
Ukraine,4,8.93
USA,430,7.82
Uruguay,2,9.25
Venezuela,1,7.0
Vietnam,3,6.0
Australia,42,7.17
Austria,10,7.8
Belgium,16,7.9
Brazil,19,8.15
Bulgaria,2,8.5
Canada,139,7.69
Chile,5,8.06
China,16,7.91
Colombia,4,9.0
Croatia,2,7.0
Czech Republic,1,5.0
Denmark,12,7.29
Ecuador,1,10.0
England,6,8.0
Estonia,1,10.0
Finland,11,7.68
France,7,6.63
Germany,80,7.48
Greece,12,7.42
Guatemala,1,10.0
Hungary,2,8.1
Iceland,1,8.0
India,3,8.67
Indonesia,2,7.6
Ireland,4,7.38
Israel,4,7.75
Italy,28,7.37
Japan,30,7.83
Latvia,3,7.67
Lithuania,2,7.5
Malaysia,7,7.64
Mexico,6,8.17
Moldova,1,10.0
Netherlands,22,7.81
New Zealand,11,7.18
Norway,13,7.5
Panama,1,8.0
Philippines,4,7.75
Poland,11,7.37
Portugal,6,6.92
Romania,4,8.88
Russia,2,6.5
Saudi Arabia,1,8.0
Republic of Serbia,2,7.5
Slovenia,3,7.67
South Africa,2,7.0
South Korea,37,8.14
Spain,38,7.63
Sweden,20,7.56
Switzerland,5,6.6
Taiwan,11,7.32
Thailand,8,8.19
Ukraine,1,6.0
USA,1254,7.83
Venezuela,3,7.67
Argentina,22,8.91
Australia,98,8.17
Austria,23,9.34
Belarus,1,5.0
Belgium,67,8.4
Bolivia,1,9.0
Brazil,93,8.86
Bulgaria,3,8.67
Canada,373,8.4
Chile,15,8.79
China,32,8.4
Colombia,7,8.77
Croatia,5,9.12
Cyprus,1,8.0
Czech Republic,27,8.5
Denmark,28,8.8
Ecuador,1,10.0
England,23,8.61
Estonia,11,8.2
Finland,39,8.91
France,45,8.67
Germany,231,8.74
Greece,43,8.75
Guatemala,1,9.0
Honduras,1,8.5
Hungary,18,8.56
Iceland,3,8.83
India,3,8.33
Indonesia,8,8.4
Iran,1,8.0
Ireland,11,8.64
Israel,15,8.08
Italy,77,8.34
Japan,32,7.97
Latvia,5,9.0
Lithuania,13,8.88
Luxembourg,3,9.0
Malaysia,11,7.9
Mexico,14,9.31
Mongolia,1,10.0
Netherlands,75,8.37
New Zealand,27,7.99
Norway,20,8.91
Panama,1,9.5
Peru,6,7.83
Philippines,8,8.0
Poland,140,8.42
Portugal,17,8.03
Qatar,1,7.2
Romania,18,8.39
Russia,20,8.28
Republic of Serbia,7,8.89
Slovakia,4,6.78
Slovenia,4,9.0
South Africa,7,8.0
South Korea,37,8.24
Spain,233,8.55
Sweden,65,7.86
Switzerland,19,8.53
Taiwan,37,8.94
Thailand,12,8.71
Trinidad and Tobago,1,9.0
Ukraine,8,7.61
USA,1902,8.28
Uruguay,1,9.5
Venezuela,2,7.5
Vietnam,4,8.88
Argentina,20,7.76
Australia,82,7.4
Austria,17,7.88
Belgium,45,7.24
Brazil,33,7.95
Brunei,1,7.0
Bulgaria,5,7.8
Canada,218,7.65
Chile,12,7.17
China,9,7.74
Colombia,2,7.5
Croatia,9,7.63
Cyprus,1,8.0
Czech Republic,17,6.94
Denmark,14,7.0
England,15,7.01
Estonia,6,6.53
Finland,39,6.96
France,26,7.06
Germany,180,7.23
Greece,42,7.71
Guatemala,1,7.0
Hungary,28,7.44
Iceland,2,8.25
India,2,7.0
Indonesia,3,7.5
Ireland,10,7.38
Israel,7,7.13
Italy,55,7.48
Japan,29,7.27
Latvia,4,8.0
Lithuania,17,7.02
Luxembourg,3,6.33
Malaysia,4,7.38
Mexico,10,8.0
Moldova,1,8.0
Netherlands,43,7.72
New Zealand,26,7.36
Norway,20,7.2
Philippines,4,6.25
Poland,38,7.83
Portugal,22,7.68
Qatar,1,4.0
Romania,10,8.2
Russia,7,7.0
Saudi Arabia,1,9.0
Republic of Serbia,5,8.4
Slovakia,3,7.73
Slovenia,4,8.88
South Africa,6,7.0
South Korea,26,7.96
Spain,112,7.32
Sweden,35,7.26
Switzerland,12,7.25
Taiwan,13,7.98
Thailand,6,8.3
Uganda,1,6.5
Ukraine,1,7.0
USA,1101,7.55
Venezuela,1,10.0
Argentina,8,7.38
Australia,32,7.79
Austria,4,6.25
Belgium,6,9.33
Bolivia,1,8.0
Brazil,20,8.01
Bulgaria,3,7.67
Canada,109,8.2
Chile,6,7.92
China,13,8.0
Colombia,2,9.0
Croatia,1,10.0
Czech Republic,5,7.4
Denmark,5,8.16
England,4,6.25
Finland,11,8.45
France,11,8.23
Germany,54,8.12
Greece,10,8.39
Guatemala,1,9.0
Hungary,2,7.0
Iceland,2,9.0
Indonesia,2,9.0
Ireland,2,7.0
