Game,Country,NumberofUsers
6 nimmt!,Argentina,7
6 nimmt!,Australia,36
6 nimmt!,Austria,10
6 nimmt!,Belarus,2
6 nimmt!,Belgium,18
6 nimmt!,Bolivia,1
6 nimmt!,Brazil,32
6 nimmt!,Brunei,1
6 nimmt!,Bulgaria,3
6 nimmt!,Canada,98
6 nimmt!,Chile,9
6 nimmt!,China,4
6 nimmt!,Colombia,3
6 nimmt!,Croatia,1
6 nimmt!,Czech Republic,5
6 nimmt!,Denmark,8
6 nimmt!,England,4
6 nimmt!,Estonia,5
6 nimmt!,Finland,32
6 nimmt!,France,27
6 nimmt!,Germany,123
6 nimmt!,Greece,17
6 nimmt!,Hungary,19
6 nimmt!,Iceland,1
6 nimmt!,India,1
6 nimmt!,Ireland,4
6 nimmt!,Israel,5
6 nimmt!,Italy,32
6 nimmt!,Japan,40
6 nimmt!,Latvia,9
6 nimmt!,Lithuania,7
6 nimmt!,Luxembourg,1
6 nimmt!,Malaysia,6
6 nimmt!,Mexico,6
6 nimmt!,Netherlands,25
6 nimmt!,New Zealand,11
6 nimmt!,Norway,11
6 nimmt!,Philippines,1
6 nimmt!,Poland,47
6 nimmt!,Portugal,5
6 nimmt!,Romania,5
6 nimmt!,Russia,11
6 nimmt!,Saudi Arabia,1
6 nimmt!,Republic of Serbia,5
6 nimmt!,Slovakia,1
6 nimmt!,South Africa,3
6 nimmt!,South Korea,24
6 nimmt!,Spain,83
6 nimmt!,Sweden,17
6 nimmt!,Switzerland,8
6 nimmt!,Taiwan,20
6 nimmt!,Thailand,6
6 nimmt!,Ukraine,3
6 nimmt!,USA,463
6 nimmt!,Uruguay,1
6 nimmt!,Vietnam,1
7 Wonders,Argentina,24
7 Wonders,Australia,110
7 Wonders,Austria,14
7 Wonders,Belarus,2
7 Wonders,Belgium,58
7 Wonders,Bolivia,2
7 Wonders,Brazil,107
7 Wonders,Brunei,1
7 Wonders,Bulgaria,10
7 Wonders,Canada,362
7 Wonders,Chile,15
7 Wonders,China,28
7 Wonders,Colombia,8
7 Wonders,Costa Rica,2
7 Wonders,Croatia,5
7 Wonders,Czech Republic,13
7 Wonders,Denmark,26
7 Wonders,England,16
7 Wonders,Estonia,9
7 Wonders,Finland,42
7 Wonders,France,55
7 Wonders,Germany,212
7 Wonders,Greece,56
7 Wonders,Guatemala,1
7 Wonders,Honduras,1
7 Wonders,Hungary,29
7 Wonders,Iceland,4
7 Wonders,India,3
7 Wonders,Indonesia,8
7 Wonders,Iran,3
7 Wonders,Iraq,1
7 Wonders,Ireland,14
7 Wonders,Israel,15
7 Wonders,Italy,86
7 Wonders,Japan,38
7 Wonders,Latvia,12
7 Wonders,Lebanon,1
7 Wonders,Lithuania,16
7 Wonders,Luxembourg,2
7 Wonders,Macedonia,2
7 Wonders,Malaysia,9
7 Wonders,Mexico,21
7 Wonders,Moldova,2
7 Wonders,Netherlands,48
7 Wonders,New Zealand,28
7 Wonders,Norway,19
7 Wonders,Peru,4
7 Wonders,Philippines,10
7 Wonders,Poland,116
7 Wonders,Portugal,29
7 Wonders,Qatar,2
7 Wonders,Romania,22
7 Wonders,Russia,21
7 Wonders,Saudi Arabia,2
7 Wonders,Republic of Serbia,12
7 Wonders,Slovakia,3
7 Wonders,Slovenia,3
7 Wonders,South Africa,10
7 Wonders,South Korea,25
7 Wonders,Spain,174
7 Wonders,Sri Lanka,1
7 Wonders,Sweden,63
7 Wonders,Switzerland,20
7 Wonders,Taiwan,31
7 Wonders,Thailand,16
7 Wonders,Turkey,2
7 Wonders,Uganda,1
7 Wonders,Ukraine,18
7 Wonders,USA,2023
7 Wonders,Uruguay,3
7 Wonders,Venezuela,2
7 Wonders,Vietnam,3
7 Wonders Duel,Argentina,14
7 Wonders Duel,Australia,51
7 Wonders Duel,Austria,11
7 Wonders Duel,Belarus,2
7 Wonders Duel,Belgium,26
7 Wonders Duel,Bolivia,1
7 Wonders Duel,Brazil,38
7 Wonders Duel,Bulgaria,3
7 Wonders Duel,Canada,132
7 Wonders Duel,Chile,9
7 Wonders Duel,China,18
7 Wonders Duel,Colombia,3
7 Wonders Duel,Croatia,3
7 Wonders Duel,Czech Republic,9
7 Wonders Duel,Denmark,11
7 Wonders Duel,Ecuador,2
7 Wonders Duel,England,11
7 Wonders Duel,Estonia,3
7 Wonders Duel,Finland,11
7 Wonders Duel,France,32
7 Wonders Duel,Germany,109
7 Wonders Duel,Greece,23
7 Wonders Duel,Guatemala,1
7 Wonders Duel,Hungary,13
7 Wonders Duel,Iceland,3
7 Wonders Duel,India,6
7 Wonders Duel,Indonesia,4
7 Wonders Duel,Iran,2
7 Wonders Duel,Ireland,6
7 Wonders Duel,Israel,6
7 Wonders Duel,Italy,48
7 Wonders Duel,Japan,18
7 Wonders Duel,Latvia,6
7 Wonders Duel,Lebanon,1
7 Wonders Duel,Lithuania,7
7 Wonders Duel,Luxembourg,1
7 Wonders Duel,Malaysia,2
7 Wonders Duel,Mexico,9
7 Wonders Duel,Moldova,1
7 Wonders Duel,Netherlands,30
7 Wonders Duel,New Zealand,8
7 Wonders Duel,Norway,9
7 Wonders Duel,Paraguay,1
7 Wonders Duel,Philippines,4
7 Wonders Duel,Poland,65
7 Wonders Duel,Portugal,14
7 Wonders Duel,Qatar,1
7 Wonders Duel,Romania,11
7 Wonders Duel,Russia,11
7 Wonders Duel,Rwanda,1
7 Wonders Duel,Saudi Arabia,1
7 Wonders Duel,Republic of Serbia,9
7 Wonders Duel,Slovakia,4
7 Wonders Duel,Slovenia,3
7 Wonders Duel,South Africa,4
7 Wonders Duel,South Korea,17
7 Wonders Duel,Spain,119
7 Wonders Duel,Sweden,33
7 Wonders Duel,Switzerland,7
7 Wonders Duel,Taiwan,13
7 Wonders Duel,Thailand,9
7 Wonders Duel,Ukraine,11
7 Wonders Duel,USA,688
7 Wonders Duel,Uruguay,1
7 Wonders Duel,Venezuela,1
7 Wonders Duel,Vietnam,2
A Game of Thrones: The Board Game (Second Edition),Argentina,9
A Game of Thrones: The Board Game (Second Edition),Australia,43
A Game of Thrones: The Board Game (Second Edition),Austria,2
A Game of Thrones: The Board Game (Second Edition),Belarus,2
A Game of Thrones: The Board Game (Second Edition),Belgium,14
A Game of Thrones: The Board Game (Second Edition),Bolivia,1
A Game of Thrones: The Board Game (Second Edition),Brazil,51
A Game of Thrones: The Board Game (Second Edition),Bulgaria,7
A Game of Thrones: The Board Game (Second Edition),Canada,100
A Game of Thrones: The Board Game (Second Edition),Chile,9
A Game of Thrones: The Board Game (Second Edition),China,19
A Game of Thrones: The Board Game (Second Edition),Colombia,4
A Game of Thrones: The Board Game (Second Edition),Croatia,4
A Game of Thrones: The Board Game (Second Edition),Czech Republic,5
A Game of Thrones: The Board Game (Second Edition),Denmark,4
A Game of Thrones: The Board Game (Second Edition),Ecuador,1
A Game of Thrones: The Board Game (Second Edition),England,2
A Game of Thrones: The Board Game (Second Edition),Estonia,3
A Game of Thrones: The Board Game (Second Edition),Finland,9
A Game of Thrones: The Board Game (Second Edition),France,6
A Game of Thrones: The Board Game (Second Edition),Germany,50
A Game of Thrones: The Board Game (Second Edition),Greece,18
A Game of Thrones: The Board Game (Second Edition),Hungary,4
A Game of Thrones: The Board Game (Second Edition),Iceland,2
A Game of Thrones: The Board Game (Second Edition),India,1
A Game of Thrones: The Board Game (Second Edition),Indonesia,2
A Game of Thrones: The Board Game (Second Edition),Ireland,6
A Game of Thrones: The Board Game (Second Edition),Israel,5
A Game of Thrones: The Board Game (Second Edition),Italy,36
A Game of Thrones: The Board Game (Second Edition),Japan,2
A Game of Thrones: The Board Game (Second Edition),Latvia,6
A Game of Thrones: The Board Game (Second Edition),Lebanon,1
A Game of Thrones: The Board Game (Second Edition),Lithuania,9
A Game of Thrones: The Board Game (Second Edition),Macedonia,2
A Game of Thrones: The Board Game (Second Edition),Malaysia,4
A Game of Thrones: The Board Game (Second Edition),Mexico,8
A Game of Thrones: The Board Game (Second Edition),Moldova,1
A Game of Thrones: The Board Game (Second Edition),Netherlands,9
A Game of Thrones: The Board Game (Second Edition),New Zealand,8
A Game of Thrones: The Board Game (Second Edition),Norway,5
A Game of Thrones: The Board Game (Second Edition),Paraguay,1
A Game of Thrones: The Board Game (Second Edition),Peru,3
A Game of Thrones: The Board Game (Second Edition),Philippines,3
A Game of Thrones: The Board Game (Second Edition),Poland,64
A Game of Thrones: The Board Game (Second Edition),Portugal,12
A Game of Thrones: The Board Game (Second Edition),Qatar,1
A Game of Thrones: The Board Game (Second Edition),Romania,8
A Game of Thrones: The Board Game (Second Edition),Russia,14
A Game of Thrones: The Board Game (Second Edition),Republic of Serbia,6
A Game of Thrones: The Board Game (Second Edition),Slovakia,2
A Game of Thrones: The Board Game (Second Edition),Slovenia,1
A Game of Thrones: The Board Game (Second Edition),South Africa,5
A Game of Thrones: The Board Game (Second Edition),South Korea,7
A Game of Thrones: The Board Game (Second Edition),Spain,81
A Game of Thrones: The Board Game (Second Edition),Sweden,21
A Game of Thrones: The Board Game (Second Edition),Switzerland,4
A Game of Thrones: The Board Game (Second Edition),Taiwan,9
A Game of Thrones: The Board Game (Second Edition),Thailand,6
A Game of Thrones: The Board Game (Second Edition),Turkey,1
A Game of Thrones: The Board Game (Second Edition),Uganda,1
A Game of Thrones: The Board Game (Second Edition),Ukraine,4
A Game of Thrones: The Board Game (Second Edition),USA,430
A Game of Thrones: The Board Game (Second Edition),Uruguay,2
A Game of Thrones: The Board Game (Second Edition),Venezuela,1
A Game of Thrones: The Board Game (Second Edition),Vietnam,3
Acquire,Australia,42
Acquire,Austria,10
Acquire,Belgium,16
Acquire,Brazil,19
Acquire,Bulgaria,2
Acquire,Canada,139
Acquire,Chile,5
Acquire,China,16
Acquire,Colombia,4
Acquire,Croatia,2
Acquire,Czech Republic,1
Acquire,Denmark,12
Acquire,Ecuador,1
Acquire,England,6
Acquire,Estonia,1
Acquire,Finland,11
Acquire,France,7
Acquire,Germany,80
Acquire,Greece,12
Acquire,Guatemala,1
Acquire,Hungary,2
Acquire,Iceland,1
Acquire,India,3
Acquire,Indonesia,2
Acquire,Ireland,4
Acquire,Israel,4
Acquire,Italy,28
Acquire,Japan,30
Acquire,Latvia,3
Acquire,Lithuania,2
Acquire,Malaysia,7
Acquire,Mexico,6
Acquire,Moldova,1
Acquire,Netherlands,22
Acquire,New Zealand,11
Acquire,Norway,13
Acquire,Panama,1
Acquire,Philippines,4
Acquire,Poland,11
Acquire,Portugal,6
Acquire,Romania,4
Acquire,Russia,2
Acquire,Saudi Arabia,1
Acquire,Republic of Serbia,2
Acquire,Slovenia,3
Acquire,South Africa,2
Acquire,South Korea,37
Acquire,Spain,38
Acquire,Sweden,20
Acquire,Switzerland,5
Acquire,Taiwan,11
Acquire,Thailand,8
Acquire,Ukraine,1
Acquire,USA,1254
Acquire,Venezuela,3
Agricola,Argentina,22
Agricola,Australia,98
Agricola,Austria,23
Agricola,Belarus,1
Agricola,Belgium,67
Agricola,Bolivia,1
Agricola,Brazil,93
Agricola,Bulgaria,3
Agricola,Canada,373
Agricola,Chile,15
Agricola,China,32
Agricola,Colombia,7
Agricola,Croatia,5
Agricola,Cyprus,1
Agricola,Czech Republic,27
Agricola,Denmark,28
Agricola,Ecuador,1
Agricola,England,23
Agricola,Estonia,11
Agricola,Finland,39
Agricola,France,45
Agricola,Germany,231
Agricola,Greece,43
Agricola,Guatemala,1
Agricola,Honduras,1
Agricola,Hungary,18
Agricola,Iceland,3
Agricola,India,3
Agricola,Indonesia,8
Agricola,Iran,1
Agricola,Ireland,11
Agricola,Israel,15
Agricola,Italy,77
Agricola,Japan,32
Agricola,Latvia,5
Agricola,Lithuania,13
Agricola,Luxembourg,3
Agricola,Malaysia,11
Agricola,Mexico,14
Agricola,Mongolia,1
Agricola,Netherlands,75
Agricola,New Zealand,27
Agricola,Norway,20
Agricola,Panama,1
Agricola,Peru,6
Agricola,Philippines,8
Agricola,Poland,140
Agricola,Portugal,17
Agricola,Qatar,1
Agricola,Romania,18
Agricola,Russia,20
Agricola,Republic of Serbia,7
Agricola,Slovakia,4
Agricola,Slovenia,4
Agricola,South Africa,7
Agricola,South Korea,37
Agricola,Spain,233
Agricola,Sweden,65
Agricola,Switzerland,19
Agricola,Taiwan,37
Agricola,Thailand,12
Agricola,Trinidad and Tobago,1
Agricola,Ukraine,8
Agricola,USA,1902
Agricola,Uruguay,1
Agricola,Venezuela,2
Agricola,Vietnam,4
Alhambra,Argentina,20
Alhambra,Australia,82
Alhambra,Austria,17
Alhambra,Belgium,45
Alhambra,Brazil,33
Alhambra,Brunei,1
Alhambra,Bulgaria,5
Alhambra,Canada,218
Alhambra,Chile,12
Alhambra,China,9
Alhambra,Colombia,2
Alhambra,Croatia,9
Alhambra,Cyprus,1
Alhambra,Czech Republic,17
Alhambra,Denmark,14
Alhambra,England,15
Alhambra,Estonia,6
Alhambra,Finland,39
Alhambra,France,26
Alhambra,Germany,180
Alhambra,Greece,42
Alhambra,Guatemala,1
Alhambra,Hungary,28
Alhambra,Iceland,2
Alhambra,India,2
Alhambra,Indonesia,3
Alhambra,Ireland,10
Alhambra,Israel,7
Alhambra,Italy,55
Alhambra,Japan,29
Alhambra,Latvia,4
Alhambra,Lithuania,17
Alhambra,Luxembourg,3
Alhambra,Malaysia,4
Alhambra,Mexico,10
Alhambra,Moldova,1
Alhambra,Netherlands,43
Alhambra,New Zealand,26
Alhambra,Norway,20
Alhambra,Philippines,4
Alhambra,Poland,38
Alhambra,Portugal,22
Alhambra,Qatar,1
Alhambra,Romania,10
Alhambra,Russia,7
Alhambra,Saudi Arabia,1
Alhambra,Republic of Serbia,5
Alhambra,Slovakia,3
Alhambra,Slovenia,4
Alhambra,South Africa,6
Alhambra,South Korea,26
Alhambra,Spain,112
Alhambra,Sweden,35
Alhambra,Switzerland,12
Alhambra,Taiwan,13
Alhambra,Thailand,6
Alhambra,Uganda,1
Alhambra,Ukraine,1
Alhambra,USA,1101
Alhambra,Venezuela,1
Android: Netrunner,Argentina,8
Android: Netrunner,Australia,32
Android: Netrunner,Austria,4
Android: Netrunner,Belgium,6
Android: Netrunner,Bolivia,1
Android: Netrunner,Brazil,20
Android: Netrunner,Bulgaria,3
Android: Netrunner,Canada,109
Android: Netrunner,Chile,6
Android: Netrunner,China,13
Android: Netrunner,Colombia,2
Android: Netrunner,Croatia,1
Android: Netrunner,Czech Republic,5
Android: Netrunner,Denmark,5
Android: Netrunner,England,4
Android: Netrunner,Finland,11
Android: Netrunner,France,11
Android: Netrunner,Germany,54
Android: Netrunner,Greece,10
Android: Netrunner,Guatemala,1
Android: Netrunner,Hungary,2
Android: Netrunner,Iceland,2
Android: Netrunner,Indonesia,2
Android: Netrunner,Ireland,2
Android: Netrunner,Israel,2
Android: Netrunner,Italy,19
Android: Netrunner,Japan,8
Android: Netrunner,Latvia,3
Android: Netrunner,Lithuania,5
Android: Netrunner,Luxembourg,1
Android: Netrunner,Macedonia,1
Android: Netrunner,Malaysia,2
Android: Netrunner,Mexico,5
Android: Netrunner,Netherlands,10
Android: Netrunner,New Zealand,6
Android: Netrunner,Norway,4
Android: Netrunner,Peru,1
Android: Netrunner,Philippines,3
Android: Netrunner,Poland,24
Android: Netrunner,Portugal,7
Android: Netrunner,Qatar,1
Android: Netrunner,Romania,4
Android: Netrunner,Russia,6
Android: Netrunner,Republic of Serbia,2
Android: Netrunner,Slovakia,1
Android: Netrunner,South Africa,3
Android: Netrunner,South Korea,13
Android: Netrunner,Spain,35
Android: Netrunner,Sweden,15
Android: Netrunner,Switzerland,5
Android: Netrunner,Taiwan,8
Android: Netrunner,Thailand,1
Android: Netrunner,Turkey,1
Android: Netrunner,Ukraine,2
Android: Netrunner,USA,540
Android: Netrunner,Venezuela,1
Android: Netrunner,Vietnam,1
Apples to Apples,Argentina,1
Apples to Apples,Australia,35
Apples to Apples,Austria,2
Apples to Apples,Belgium,7
Apples to Apples,Brazil,4
Apples to Apples,Canada,168
Apples to Apples,Chile,4
Apples to Apples,China,3
Apples to Apples,Colombia,3
Apples to Apples,Denmark,2
Apples to Apples,England,6
Apples to Apples,Finland,12
Apples to Apples,France,4
Apples to Apples,Germany,39
Apples to Apples,Greece,1
Apples to Apples,Guatemala,1
Apples to Apples,Hungary,1
Apples to Apples,India,2
Apples to Apples,Ireland,6
Apples to Apples,Israel,3
Apples to Apples,Italy,4
Apples to Apples,Japan,9
Apples to Apples,Malaysia,4
Apples to Apples,Mexico,1
Apples to Apples,Netherlands,6
Apples to Apples,New Zealand,7
Apples to Apples,Norway,3
Apples to Apples,Philippines,1
Apples to Apples,Poland,15
Apples to Apples,Russia,1
Apples to Apples,South Africa,1
Apples to Apples,South Korea,6
Apples to Apples,Spain,16
Apples to Apples,Sweden,12
Apples to Apples,Switzerland,2
Apples to Apples,Taiwan,3
Apples to Apples,USA,1518
Apples to Apples,Uruguay,1
Apples to Apples,Venezuela,1
Arkham Horror,Argentina,11
Arkham Horror,Australia,55
Arkham Horror,Austria,12
Arkham Horror,Belarus,1
Arkham Horror,Belgium,12
Arkham Horror,Bolivia,1
Arkham Horror,Brazil,27
Arkham Horror,Bulgaria,1
Arkham Horror,Canada,181
Arkham Horror,Chile,8
Arkham Horror,China,14
Arkham Horror,Colombia,1
Arkham Horror,Croatia,5
Arkham Horror,Czech Republic,12
Arkham Horror,Denmark,14
Arkham Horror,England,6
Arkham Horror,Estonia,5
Arkham Horror,Finland,31
Arkham Horror,France,18
Arkham Horror,Germany,104
Arkham Horror,Greece,23
Arkham Horror,Hungary,13
Arkham Horror,Iceland,2
Arkham Horror,Indonesia,2
Arkham Horror,Ireland,6
