,Country,Number of Users,Average Rating
0,Argentina,7,7.57
1,Australia,36,7.17
2,Austria,10,7.53
3,Belarus,2,7.5
4,Belgium,18,7.55
5,Bolivia,1,7.0
6,Brazil,32,7.28
7,Brunei,1,8.0
8,Bulgaria,3,5.67
9,Canada,98,7.21
10,Chile,9,7.99
11,China,4,7.1
12,Colombia,3,7.57
13,Croatia,1,6.0
14,Czech Republic,5,7.7
15,Denmark,8,6.19
16,England,4,7.5
17,Estonia,5,7.08
18,Finland,32,7.32
19,France,27,6.93
20,Germany,123,7.58
21,Greece,17,7.07
22,Hungary,19,7.31
23,Iceland,1,6.0
24,India,1,7.0
25,Ireland,4,8.0
26,Israel,5,6.8
27,Italy,32,7.06
28,Japan,40,6.99
29,Latvia,9,6.74
30,Lithuania,7,7.71
31,Luxembourg,1,7.0
32,Malaysia,6,8.08
33,Mexico,6,8.0
34,Netherlands,25,7.25
35,New Zealand,11,6.91
36,Norway,11,6.77
37,Philippines,1,9.0
38,Poland,47,7.43
39,Portugal,5,6.63
40,Romania,5,7.8
41,Russia,11,6.5
42,Saudi Arabia,1,7.0
43,Republic of Serbia,5,7.7
44,Slovakia,1,7.0
45,South Africa,3,7.33
46,South Korea,24,7.43
47,Spain,83,7.58
48,Sweden,17,7.01
49,Switzerland,8,7.75
50,Taiwan,20,7.44
51,Thailand,6,7.5
52,Ukraine,3,7.67
53,USA,463,7.14
54,Uruguay,1,10.0
55,Vietnam,1,6.0
56,Argentina,24,8.12
57,Australia,110,8.05
58,Austria,14,8.5
59,Belarus,2,8.25
60,Belgium,58,8.33
61,Bolivia,2,9.0
62,Brazil,107,8.71
63,Brunei,1,9.0
64,Bulgaria,10,8.35
65,Canada,362,8.31
66,Chile,15,8.17
67,China,28,8.23
68,Colombia,8,8.09
69,Costa Rica,2,7.5
70,Croatia,5,8.04
71,Czech Republic,13,7.65
72,Denmark,26,7.99
73,England,16,7.74
74,Estonia,9,9.17
75,Finland,42,8.44
76,France,55,8.59
77,Germany,212,8.41
78,Greece,56,8.34
79,Guatemala,1,9.5
80,Honduras,1,8.0
81,Hungary,29,8.46
82,Iceland,4,8.13
83,India,3,8.0
84,Indonesia,8,8.63
85,Iran,3,7.9
86,Iraq,1,9.0
87,Ireland,14,8.3
88,Israel,15,8.03
89,Italy,86,7.9
90,Japan,38,7.43
91,Latvia,12,8.4
