,satisfaction_life,satisfaction_economy,satisfaction_government,satisfaction_democracy,satisfaction_education,satisfaction_health_services,immigration_same_ethnicity,immigration_diff_ethnicity,immigration_world_poor,country,gender,age,degree,weight
0,8,8,8,8,6,4,Allow some,Allow some,Allow some,Austria,Male,43.0,False,0.175567783
1,9,5,5,6,8,8,Allow some,Allow a few,Allow a few,Austria,Female,85.0,False,0.124103961
2,9,6,4,5,8,8,Allow some,Allow some,Allow a few,Austria,Male,31.0,False,0.31565395
3,8,6,6,7,6,6,Allow none,Allow none,Allow none,Austria,Female,49.0,False,0.289815262
4,8,8,7,8,7,8,Allow some,Allow a few,Allow a few,Austria,Male,67.0,False,0.321054448
5,8,6,8,6,7,8,Allow some,Allow a few,Allow a few,Austria,Male,63.0,False,0.30009742
6,8,7,7,7,7,10,Allow a few,Allow a few,Allow a few,Austria,Female,71.0,False,0.11399522599999999
7,9,9,6,7,6,7,Allow some,Allow some,Allow some,Austria,Male,64.0,False,0.446899812
8,10,1,3,3,9,1,Allow many to come and live here,Allow some,Allow some,Austria,Male,56.0,False,0.299601515
9,6,7,7,3,5,5,Allow some,Allow a few,Allow none,Austria,Female,74.0,False,0.09360576599999999
10,6,7,5,8,8,7,Allow some,Allow a few,Allow a few,Austria,Female,28.0,False,0.325998216
11,10,10,10,10,9,10,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Male,48.0,False,0.128738624
12,8,5,2,7,4,6,Allow some,Allow some,Allow some,Austria,Female,59.0,False,0.299601515
13,10,6,8,3,5,8,Allow some,Allow some,Allow some,Austria,Male,77.0,False,0.334153973
14,7,5,6,5,6,7,Allow none,Allow a few,Allow a few,Austria,Female,87.0,False,0.154219477
15,8,9,9,6,4,8,Allow many to come and live here,Allow a few,Allow a few,Austria,Male,79.0,False,0.313373358
16,9,9,8,9,9,9,Allow some,Allow a few,Allow a few,Austria,Male,62.0,False,0.142514671
17,6,7,2,3,6,8,Allow many to come and live here,Allow some,Allow some,Austria,Male,27.0,False,0.17311770199999998
18,9,9,9,9,7,9,Allow many to come and live here,Allow none,Allow many to come and live here,Austria,Male,59.0,False,0.28081729
19,9,5,8,8,7,8,Allow some,Allow some,Allow some,Austria,Female,60.0,False,0.396609824
20,10,6,7,10,10,3,Allow some,Allow some,Allow some,Austria,Male,49.0,False,0.09360576599999999
21,7,7,2,6,9,9,Allow a few,Allow a few,Allow none,Austria,Male,42.0,True,0.166787674
22,10,8,8,10,8,10,Allow a few,Allow a few,Allow a few,Austria,Male,59.0,False,0.166787674
23,8,6,4,6,7,6,Allow a few,Allow none,Allow none,Austria,Female,69.0,False,0.325998216
